rent_exp,time,cpd,fmax,total_wirelength,average_net_length,estimate_distance_1,estimate_distance_2,packing_time,routing_time,placement_time,fpga_size,fpga_area
0.4,94.51,21.7607,45.9545,76116,8.07425,216375,58618,6.5,37.2,2.66,44 x 33,1452
0.41,109.1,20.9669,47.6943,76778,8.01859,219918,60275,6.68,49.39,2.91,44 x 33,1452
0.42,107.27,21.6811,46.1232,79155,8.30936,221523,61965,6.65,46.99,2.66,44 x 33,1452
0.43,99.83,22.6545,44.1414,78699,8.23211,227409,59684,6.36,39.65,3.2,44 x 33,1452
0.44,108.78,21.662,46.1637,82176,8.35207,237812,64927,6.82,48.61,3.33,44 x 33,1452
0.45,116.5,22.6836,44.0847,83250,8.39806,239901,66792,6.83,55.45,3.3,46 x 34,1564
0.46,100.18,21.5364,46.4331,89647,8.98987,256600,68794,6.36,43.85,2.89,50 x 37,1850
0.47,129.4,21.5655,46.3704,96753,9.40354,279428,73638,6.68,62.75,3.34,54 x 40,2160
0.48,145.7,22.3286,44.7856,98263,9.41397,299390,79144,6.41,70.83,3.29,59 x 44,2596
0.49,163.66,22.4012,44.6404,106022,10.0229,313984,83484,6.48,80.54,3.46,64 x 47,3008
0.5,221.31,22.2263,44.9917,111059,10.3677,347930,89645,6.8,113.91,3.8,70 x 52,3640
0.51,268.97,22.3862,44.6704,121320,11.1436,363807,94747,7.02,134.46,4.62,76 x 56,4256
0.52,354.43,22.9644,43.5456,121180,10.8867,393211,100240,6.84,160.32,4.94,83 x 61,5063
0.53,418.18,23.5059,42.5425,131899,11.7337,407363,106721,7.26,200.87,4.77,90 x 67,6030
0.54,450.25,23.127,43.2396,140624,12.2548,444079,117082,7.35,205.73,4.9,99 x 73,7227
0.55,611.18,24.0207,41.6308,152255,13.1141,472833,125990,7.29,294.31,4.97,109 x 81,8829
0.56,716.33,24.7996,40.3233,163010,13.6822,532035,139099,7.88,346.63,5.8,119 x 88,10472
0.57,980.72,25.493,39.2265,184832,15.1415,570956,156538,8.59,486.63,6.54,131 x 97,12707
0.58,1247.86,24.7949,40.3309,202830,16.3335,620607,173674,8.94,573.28,6.59,143 x 106,15158
0.59,1697.27,25.8361,38.7056,232619,18.3136,705999,197557,9.89,880.04,6.3,157 x 116,18212
0.6,1845.1,26.3668,37.9265,246566,19.0619,716693,216807,10.94,879.76,7.03,173 x 128,22144
0.61,2551.34,26.8836,37.1974,273551,20.7393,811734,246204,13.18,1375.39,7.76,190 x 141,26790
0.62,3445.3,27.6874,36.1175,315011,23.4802,853123,282950,15.28,1867.9,8.47,209 x 155,32395
0.63,4706.33,27.3014,36.6281,356732,26.0979,957473,322380,19.7,2850.61,8.62,229 x 170,38930
0.64,5118.99,27.6344,36.1867,413692,29.5073,1034498,378966,23.88,2892.32,9.97,252 x 187,47124
0.65,9440.53,28.5621,35.0114,474761,33.5378,1193485,439876,32.57,6458.12,10.25,278 x 206,57268
0.66,8682.79,29.5408,33.8515,551537,38.0975,1275369,515828,45.04,5013.92,11.3,306 x 227,69462
0.67,13348.0,30.1645,33.1516,644698,43.4257,1393589,610058,63.62,8877.34,10.9,337 x 250,84250
0.68,22440.04,32.0388,31.2122,746454,49.2092,1627924,712658,84.26,17220.34,13.18,371 x 275,102025
0.69,33020.21,31.3839,31.8635,888960,57.5826,1819805,853794,127.42,26442.02,13.85,409 x 303,123927
0.7,38138.45,31.9985,31.2515,1044386,65.7301,2076005,1009410,175.76,30254.51,16.15,450 x 333,149850
0.71,85921.17,33.7893,29.5951,1243934,76.5309,2163136,1206082,257.83,76674.92,16.58,497 x 368,182896
0.72,85407.93,35.748,27.9736,1479628,88.9788,2633950,1446731,382.48,74664.38,17.38,547 x 405,221535
0.73,115567.68,36.2913,27.5548,1762604,103.397,3060832,1731482,552.57,101414.23,21.47,603 x 447,269541
0.75,,,,,,,,1211.71,,,733 x 543,398019
