time,cpd,fmax,total_wirelength,average_net_length,rent_exp
285.03,23.9592,41.7376,79018,13.05,0.56
36.8,21.3512,46.8357,39189,8.37551,0.4
33.74,21.0135,47.5885,39548,8.32589,0.41
35.56,20.4122,48.9902,42311,8.87395,0.42
36.63,21.8793,45.7053,42180,8.78201,0.43
37.79,21.0702,47.4605,43411,8.88477,0.44
47.37,22.3293,44.7842,48837,9.71301,0.45
48.38,22.7492,43.9576,45487,8.86686,0.46
60.5,20.576,48.6003,49840,9.8265,0.47
66.15,23.8452,41.9371,51302,9.84117,0.48
76.26,22.3625,44.7178,53341,10.0643,0.49
90.23,21.8381,45.7915,53602,10.0416,0.5
99.76,21.2842,46.9831,58082,10.7559,0.51
125.4,22.3614,44.72,64154,11.3467,0.52
150.95,22.5535,44.339,66150,11.4864,0.53
177.92,23.7163,42.1651,72696,12.5381,0.54
208.59,23.4905,42.5704,75866,12.7377,0.55
305.09,24.2194,41.2891,84964,13.616,0.57
411.37,24.504,40.8097,97191,15.3468,0.58
485.22,24.6263,40.607,105161,16.527,0.59
597.32,25.5921,39.0746,118303,17.9737,0.6
810.42,25.2856,39.5482,128299,19.2352,0.61
851.12,25.8153,38.7367,137059,20.1439,0.62
1024.61,25.5621,39.1204,155190,22.4328,0.63
1472.48,25.5257,39.1763,178693,25.2178,0.64
1765.83,25.9466,38.5406,203985,28.0623,0.65
2792.72,27.9036,35.8377,234035,31.5751,0.66
3405.41,27.0234,37.005,262390,34.4706,0.67
4608.06,27.5961,36.237,306038,39.1754,0.68
6224.26,29.0313,34.4455,357102,44.5876,0.69
4719.9,30.4272,32.8654,410929,50.1561,0.7
7985.0,29.9077,33.4362,486396,57.9526,0.71
18510.04,29.8989,33.446,567359,66.5212,0.72
29897.09,31.0182,32.2392,671862,75.848,0.73
33795.22,31.3566,31.8913,786824,86.6833,0.74
48351.8,33.3102,30.0208,930491,99.4646,0.75
78320.57,33.5078,29.8438,1095947,113.37,0.76
,,,,,0.77
